Corp.,기준가,수량,단가,대비,Low,High,L date,H (cf. L),H/L,F2,F3,F4,F5,F series,buy2(cf. H),buy3(cf. 2),buy4(cf. 3),sell(cf. buy),sell date,sell price,rbn rate,Unnamed: 22,50
제일전기공업,13890.0,,,-1.0,11420.0,16830,2023-06-29,3.0,0.47373029772329245,14839.0,14125.0,13411.0,12578.0,,0.0,2.0,,,,,,,
에스트래픽,5260.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
유라테크,11370.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
상보,2040.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
태경비케이,8420.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
엠에스씨,7230.0,72.04610951008645,6940.0,-0.04011065006915626,5810.0,8900,2023-06-29,2.0,0.53184165232358,7763.0,7355.0,6947.0,6471.0,,,3.0,,,,,,,
대한제당,3275.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
파이버프로,4405.0,,,-1.0,3910.0,5300,2023-06-29,2.0,0.3554987212276215,4788.0,4605.0,4422.0,4207.0,,0.0,4.0,1.0,,,,,,
기산텔레콤,3360.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
신스틸,5170.0,112.99435028248588,4425.0,-0.1441005802707931,3345.0,5510,2023-06-26,8.0,0.6472346786248131,4713.0,4428.0,4142.0,3808.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
다산네트웍스,6890.0,,,-1.0,4830.0,갱신,2023-07-06,,,,,,,,,,,,,,,,
알비케이그룹,2215.0,243.90243902439025,2050.0,-0.0744920993227991,1731.0,2375,2023-07-06,,0.37203928365106864,2138.0,2053.0,1968.0,1869.0,,0.0,,,,,,,,
삼부토건,3910.0,141.84397163120568,3525.0,-0.09846547314578002,2980.0,4075,2023-07-03,5.0,0.3674496644295302,3672.0,3528.0,3383.0,3214.0,,,,,,,,,,
에스와이,5550.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
금강공업,7160.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
덕신하우징,2605.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
보라티알,16060.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
신송홀딩스,10210.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
인산가,2505.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
위드텍,14860.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
화천기계,4210.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
오파스넷,12740.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
KG모빌리언스,6730.0,,,-1.0,5810.0,9010,2023-06-28,1.0,0.5507745266781412,7832.0,7410.0,6988.0,6495.0,,,4.0,2.0,,,,,,
하인크코리아,5600.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
동국홀딩스,17690.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
랩지노믹스,8200.0,,,-1.0,6810.0,갱신,,,,,,,,,,,,,,,,,
우양,4885.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
필옵틱스,14610.0,39.0625,12800.0,-0.12388774811772763,10170.0,15430,2023-06-26,7.0,0.5172074729596854,13494.0,12800.0,12106.0,11296.0,,,,,,,,,,
유니퀘스트,15500.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
웨이버스,1827.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
HB솔루션,19200.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
동운아나텍,26050.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
케이알엠,8280.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
지아이이노베이션,16640.0,,,-1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
